Gmt time,Open,High,Low,Close,Volume
05.10.2020 13:30:00.000,113.908,114.018,113.547,113.957,7302740.097
05.10.2020 13:31:00.000,113.937,114.108,113.787,113.907,8482020.3781
05.10.2020 13:32:00.000,113.908,113.968,113.777,113.898,8256369.5908
05.10.2020 13:33:00.000,113.898,114.018,113.777,113.977,7918240.0703
05.10.2020 13:34:00.000,113.978,114.118,113.808,114.107,6628399.8489
05.10.2020 13:35:00.000,114.128,114.168,113.997,114.137,5123040.1993
05.10.2020 13:36:00.000,114.128,114.257,113.997,114.248,4861320.0188
05.10.2020 13:37:00.000,114.237,114.277,114.107,114.218,5607619.7624
05.10.2020 13:38:00.000,114.227,114.268,114.127,114.217,4979080.2002
05.10.2020 13:39:00.000,114.218,114.268,114.147,114.187,4217959.8808
05.10.2020 13:40:00.000,114.167,114.217,114.058,114.188,4640379.9057
05.10.2020 13:41:00.000,114.198,114.287,114.098,114.148,4271679.8782
05.10.2020 13:42:00.000,114.158,114.188,114.068,114.098,4218319.8929
05.10.2020 13:43:00.000,114.107,114.217,114.067,114.107,3482539.8922
05.10.2020 13:44:00.000,114.107,114.128,113.967,113.978,3980459.9285
05.10.2020 13:45:00.000,113.988,114.078,113.927,114.058,4084519.8631
05.10.2020 13:46:00.000,114.067,114.198,114.027,114.067,4390120.0294
05.10.2020 13:47:00.000,114.057,114.127,114.018,114.018,4147620.2011
05.10.2020 13:48:00.000,113.997,114.017,113.857,113.947,5223820.2095
05.10.2020 13:49:00.000,113.947,113.978,113.878,113.978,3538300.0374
05.10.2020 13:50:00.000,113.988,114.087,113.957,114.047,3576139.9269
05.10.2020 13:51:00.000,114.038,114.158,114.037,114.068,3156660.08
05.10.2020 13:52:00.000,114.058,114.148,114.058,114.108,2337260.0079
05.10.2020 13:53:00.000,114.097,114.227,114.057,114.208,3719759.9411
05.10.2020 13:54:00.000,114.208,114.428,114.208,114.407,5544600.0099
05.10.2020 13:55:00.000,114.417,114.458,114.367,114.397,4850639.8201
05.10.2020 13:56:00.000,114.398,114.657,114.388,114.618,5465720.1767
05.10.2020 13:57:00.000,114.608,114.627,114.467,114.497,4019340.0383
05.10.2020 13:58:00.000,114.507,114.588,114.497,114.538,3073640.1081
05.10.2020 13:59:00.000,114.527,114.658,114.517,114.578,2941060.0662
05.10.2020 14:00:00.000,114.587,114.758,114.587,114.697,4103300.0946
05.10.2020 14:01:00.000,114.677,114.747,114.617,114.698,3558379.8885
05.10.2020 14:02:00.000,114.698,114.798,114.697,114.728,3879940.033
05.10.2020 14:03:00.000,114.738,114.797,114.667,114.678,3104680.0613
05.10.2020 14:04:00.000,114.688,114.767,114.608,114.658,3327359.9148
05.10.2020 14:05:00.000,114.657,114.698,114.597,114.687,2878900.0511
05.10.2020 14:06:00.000,114.698,114.748,114.637,114.707,2697439.909
05.10.2020 14:07:00.000,114.708,114.888,114.647,114.888,2792700.0523
05.10.2020 14:08:00.000,114.888,114.898,114.808,114.877,4146240.2344
05.10.2020 14:09:00.000,114.867,114.898,114.807,114.808,3325639.9632
05.10.2020 14:10:00.000,114.817,114.918,114.817,114.897,2736740.1123
05.10.2020 14:11:00.000,114.908,114.917,114.847,114.878,2513720.0356
05.10.2020 14:12:00.000,114.867,115.058,114.867,115.057,3800719.9764
05.10.2020 14:13:00.000,115.047,115.178,115.017,115.137,4328400.135
05.10.2020 14:14:00.000,115.127,115.168,115.047,115.047,3616060.0185
05.10.2020 14:15:00.000,115.048,115.138,115.047,115.108,3863480.0911
05.10.2020 14:16:00.000,115.097,115.118,115.027,115.087,2815799.9516
05.10.2020 14:17:00.000,115.078,115.118,115.047,115.067,2688460.1116
05.10.2020 14:18:00.000,115.078,115.088,114.917,114.947,3996840.0002
05.10.2020 14:19:00.000,114.948,115.037,114.927,115.007,2875880.003
05.10.2020 14:20:00.000,115.018,115.138,115.017,115.097,2975879.9076
05.10.2020 14:21:00.000,115.088,115.098,114.978,114.998,2192859.8881
05.10.2020 14:22:00.000,115.007,115.118,114.998,115.058,3333039.999
05.10.2020 14:23:00.000,115.048,115.057,114.837,114.878,3579339.9811
05.10.2020 14:24:00.000,114.878,114.948,114.807,114.897,3334439.9929
05.10.2020 14:25:00.000,114.898,114.978,114.898,114.948,3410959.959
05.10.2020 14:26:00.000,114.947,115.078,114.947,115.038,2775140.0471
05.10.2020 14:27:00.000,115.047,115.068,114.967,114.987,2712660.0742
05.10.2020 14:28:00.000,114.998,114.998,114.897,114.937,3153640.0318
05.10.2020 14:29:00.000,114.937,114.978,114.897,114.957,2329400.0626
05.10.2020 14:30:00.000,114.967,115.028,114.947,114.958,2967180.0137
05.10.2020 14:31:00.000,114.967,115.048,114.967,115.027,2631479.9786
05.10.2020 14:32:00.000,115.037,115.238,115.027,115.217,3517679.9297
05.10.2020 14:33:00.000,115.227,115.238,115.027,115.067,4737160.2058
05.10.2020 14:34:00.000,115.057,115.157,115.048,115.147,3088680.0289
05.10.2020 14:35:00.000,115.138,115.218,115.117,115.168,3711740.0169
05.10.2020 14:36:00.000,115.167,115.178,115.077,115.118,3396120.0714
05.10.2020 14:37:00.000,115.108,115.188,115.078,115.178,3200759.8877
05.10.2020 14:38:00.000,115.187,115.208,115.137,115.187,2353899.9557
05.10.2020 14:39:00.000,115.198,115.238,115.157,115.157,3494620.0848
05.10.2020 14:40:00.000,115.167,115.288,115.167,115.277,3291019.9165
05.10.2020 14:41:00.000,115.278,115.328,115.257,115.287,3593780.0407
05.10.2020 14:42:00.000,115.277,115.408,115.267,115.377,3556319.952
05.10.2020 14:43:00.000,115.378,115.478,115.367,115.407,3627700.0904
05.10.2020 14:44:00.000,115.408,115.418,115.298,115.317,3389460.0868
05.10.2020 14:45:00.000,115.318,115.377,115.257,115.278,2876319.8853
05.10.2020 14:46:00.000,115.277,115.288,115.167,115.207,3053900.0034
05.10.2020 14:47:00.000,115.218,115.408,115.217,115.327,4400879.8599
05.10.2020 14:48:00.000,115.327,115.398,115.317,115.368,2448479.8908
05.10.2020 14:49:00.000,115.368,115.468,115.367,115.447,2528539.896
05.10.2020 14:50:00.000,115.458,115.477,115.357,115.368,3637160.0628
05.10.2020 14:51:00.000,115.357,115.358,115.247,115.258,3299979.9252
05.10.2020 14:52:00.000,115.257,115.358,115.257,115.337,2565099.9546
05.10.2020 14:53:00.000,115.337,115.348,115.287,115.337,2446000.0992
05.10.2020 14:54:00.000,115.338,115.368,115.307,115.307,2163579.9408
05.10.2020 14:55:00.000,115.318,115.378,115.298,115.298,2663850.069
05.10.2020 14:56:00.000,115.297,115.328,115.267,115.288,2626679.8973
05.10.2020 14:57:00.000,115.298,115.357,115.268,115.268,2186660.0513
05.10.2020 14:58:00.000,115.277,115.298,115.187,115.208,3530299.902
05.10.2020 14:59:00.000,115.197,115.208,115.118,115.127,3032069.9215
05.10.2020 15:00:00.000,115.118,115.168,115.067,115.128,3973170.042
05.10.2020 15:01:00.000,115.127,115.148,114.997,115.017,4065909.8625
05.10.2020 15:02:00.000,115.007,115.028,114.947,114.997,2185369.9684
05.10.2020 15:03:00.000,115.007,115.018,114.957,114.968,1422309.9947
05.10.2020 15:04:00.000,114.978,115.088,114.977,115.057,2223099.947
05.10.2020 15:05:00.000,115.048,115.108,115.037,115.108,2826119.8997
05.10.2020 15:06:00.000,115.088,115.098,114.937,114.938,3965120.0771
05.10.2020 15:07:00.000,114.927,114.928,114.818,114.837,3070300.1022
05.10.2020 15:08:00.000,114.827,114.908,114.817,114.887,3308990.0017
05.10.2020 15:09:00.000,114.887,114.977,114.877,114.937,2748450.0408
05.10.2020 15:10:00.000,114.947,114.958,114.867,114.878,3165620.0886
05.10.2020 15:11:00.000,114.878,115.018,114.868,114.988,2327470.0642
05.10.2020 15:12:00.000,114.987,115.138,114.987,115.107,2769969.9402
05.10.2020 15:13:00.000,115.117,115.148,115.057,115.067,2146389.9612
05.10.2020 15:14:00.000,115.057,115.117,115.007,115.027,3207679.987
05.10.2020 15:15:00.000,115.038,115.148,115.027,115.147,2646140.0986
05.10.2020 15:16:00.000,115.138,115.268,115.138,115.208,3266160.0113
05.10.2020 15:17:00.000,115.207,115.258,115.197,115.248,3710429.9068
05.10.2020 15:18:00.000,115.247,115.248,115.157,115.198,2268179.8935
05.10.2020 15:19:00.000,115.208,115.268,115.177,115.268,2127449.9893
05.10.2020 15:20:00.000,115.278,115.278,115.207,115.227,2447949.8863
05.10.2020 15:21:00.000,115.227,115.257,115.128,115.227,2766599.8936
05.10.2020 15:22:00.000,115.228,115.268,115.207,115.207,2625890.0166
