INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 28.413086400002513
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit -6.604043599999045
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 66.2040864000007
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 27.429956399999327
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 27.5968560000004
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 45.51308640000397
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 8.795956400002268
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 10.656856000003074
INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit -16.74019999999743
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 52.524086400000996
INFO:root:Ticker APPL, Size 154, Market Value Bought 114.4398834, Market Value Sold None Enter Time 2020-05-10 13:55:00 Sell Time None Trande UP Profit 15.10995639999959
INFO:root:Ticker APPL, Size 140, Market Value Bought 114.42087959999999, Market Value Sold None Enter Time 2020-05-10 13:56:00 Sell Time None Trande UP Profit 16.39685600000064
INFO:root:Ticker APPL, Size 125, Market Value Bought 114.6309216, Market Value Sold None Enter Time 2020-05-10 13:57:00 Sell Time None Trande UP Profit -11.615199999999604
INFO:root:Ticker APPL, Size 113, Market Value Bought 114.5299014, Market Value Sold None Enter Time 2020-05-10 13:58:00 Sell Time None Trande UP Profit 0.9151417999996312
INFO:root:Ticker APPL, Size 171, Market Value Bought 114.23084159999999, Market Value Sold None Enter Time 2020-05-10 13:54:00 Sell Time None Trande UP Profit 59.364086399999636
